procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0   8936   8148   7620 167548    0    0     8     5  105  123  1  1 98  0
 1  0   8936   8100   7620 167644    0    0     0     0 3234 5179 11 22 67  0
 0  0   8936   7852   7628 167752    0    0     0    44 3243 5188  8 19 73  0
 0  0   8936   7728   7628 167844    0    0     0     0 3333 5257 14 20 66  0
 0  0   8936   7728   7628 167944    0    0     0    48 3112 5369 10 21 69  0
 0  0   8936   7604   7628 168052    0    0     0     0 3313 5325  8 19 73  0
 0  0   8936   7604   7628 168152    0    0     0     0 3330 4995 10 19 71  0
 1  0   8952   8348   7612 166356    0   16     0    48 5202 5021 11 24 66  0
 1  0   8952   8348   7612 166456    0    0     0     0 3185 5657 12 20 68  0
 3  0   8952   8348   7612 166560    0    0     0     0 3363 4700 12 21 67  0
 0  0   8952   8348   7612 166660    0    0     0     0 3323 5921  9 18 73  0
 1  0   8952   8316   7612 166764    0    0     0     0 3224 4880 12 19 69  0
 0  0   8952   8316   7620 166860    0    0     0    12 3242 5526  9 18 73  0
 2  0   8952   8316   7620 166964    0    0     0     0 3201 5188 10 17 74  0
 0  0   8952   8316   7620 167060    0    0     0     0 3370 5273  8 21 71  0
 1  0   8952   8316   7620 167160    0    0     0     0 3214 5481  9 20 71  0
 1  0   8952   8128   7620 167264    0    0     0     0 3040 5394 10 17 73  0
 4  0   8952   8192   7628 167364    0    0     0    12 3317 5346  8 22 70  0
 1  0   8952   8068   7628 167468    0    0     0     0 3395 5195 11 20 69  0
 4  0   8952   8100   7628 167568    0    0     0     0 3219 5073  8 21 72  0
 0  0   8952   7944   7628 167672    0    0     0     0 3297 5937 10 20 70  0
 3  0   8952   7944   7628 167772    0    0     0     0 3267 5493  8 21 70  0
 0  0   8952   7820   7636 167868    0    0     0    12 3291 5087 11 18 71  0
 0  0   8952   7540   7636 167972    0    0     0     0 3116 5624 11 16 73  0
 0  0   8952   7508   7636 168076    0    0     0  1060 3303 5485  8 22 69  0
 0  0   8952   8344   7572 166544    0    0     0     0 3577 5176 12 20 62  5
 1  0   8952   8376   7572 166568    0    0     0     0 3092 4996 11 19 70  0
 0  0   8952   8376   7580 166668    0    0     0    32 3167 5102  8 22 70  0
 1  0   8952   8408   7580 166768    0    0     0     0 3329 5348  8 23 69  0
 1  0   8952   8408   7580 166876    0    0     0     0 3414 5310  8 22 70  0
 2  0   8952   8408   7580 166968    0    0     0     0 3434 5156  8 20 72  0
 1  0   8952   8408   7580 167072    0    0     0     0 3190 5206  9 19 72  0
 0  0   8952   8408   7588 167172    0    0     0    12 3164 5246  9 19 72  0
 0  0   8952   8408   7588 167272    0    0     0     0 3253 5477 11 22 67  0
 1  0   8952   8376   7588 167372    0    0     0     4 3145 4876 11 22 67  0
 0  0   8952   8284   7588 167476    0    0     0     0 3237 5558  8 20 72  0
 1  0   8952   8284   7588 167576    0    0     0     0 3160 5090 11 21 68  0
 0  0   8952   8160   7596 167680    0    0     0    16 3181 5438 10 20 70  0
 0  0   8952   8036   7596 167780    0    0     0  1976 3042 5336 10 22 68  0
 3  0   8952   7912   7596 167880    0    0     0     0 3221 5222  4 20 76  0
MEDIA
NR:  42 CPU:  29.1
