procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  1   9636   7268   5196 150312    0    0     8     6  126  170  1  1 97  0
 8  1   9912   6856   5124 148504  276  408   360   444 4841 8606 18 26 42 15
 1  0   9984   7752   5092 146992    0   80     0    80 4117 7205 23 29 40  8
 2  1   9964   7216   5092 145744  472    4   800     4 4168 3534 48 39  8  5
 5  0  10092   8188   4636 141140    0  128     0   128 5520 3341 51 40  4  5
 2  1  10092   7800   4620 140076    0    0     0     0 3895 3449 51 35 12  4
 1  0  10092   8236   4612 139684    0    0     0    16 3868 3482 46 45  9  1
 2  0  10208   8072   4592 139012  100  228   100   228 4046 2805 57 30 13  1
 2  0  10204  10644   4592 139108    0    0     0     0 3884 3790 38 50 13  0
 3  0  10200   8444   4592 139368   32    0    32     0 3686 3787 57 25 18  0
 1  0  10196   7512   4592 139608    0    0     0     0 3605 3636 56 25 19  0
 3  0  10700   8076   4004 124468   60  544    60  3984 9602 2547 69 28  3  1
 5  1  10680   8448   3932 122992  112   28   112    28 4173 3194 69 32  0  0
 1  0  10672   8556   3932 122852   32    0    32     0 4194 3677 56 29 13  1
 1  0  10668   8156   3932 123128    0    0     0     0 3713 4065 56 24 20  0
 0  1  10672   7196   3920 123056    0    4     0     4 3931 4103 47 31 19  2
 0  0  10832   8364   3916 121764   60  192    60   208 4665 9722 13 27 49 11
 1  0  10772   7932   3916 122056   56    0    56     0 3767 9144 15 23 63  0
 0  0  10768   8028   3916 122252    0    0     0     0 4250 9714 15 27 58  0
 0  0  10784   8416   3888 120084  128   20   236    20 4319 9314 15 27 35 22
 2  0  10784   8560   3888 120252    0    0     0     0 3913 9775 15 23 61  0
 1  0  10780   8048   3896 120460    0    0     0    28 3956 9007 15 24 61  0
 2  0  10780   7396   3896 120664    0    0     0     0 3789 8702 21 23 57  0
 5  0  10780   9888   3896 120868    0    0     0     0 3767 3978 43 34 23  0
 1  0  10776   8880   3896 121080    0    0     0     0 3688 3718 39 39 23  0
 2  0  10776   8032   3896 121296    0    0     0     0 3840 3841 56 30 14  0
 1  0  10788   8436   3888 120012    0   12     0    24 4040 4084 51 27 20  3
 4  0  10784   7704   3888 120204    0    0     0     0 3675 3862 51 28 22  0
 5  1  10836   8312   3744 117736    0   52     0    52 4627 3873 49 33 13  6
 5  0  10832   7932   3744 117884    0    0     0     0 3996 4071 40 46 14  0
 3  0  10832   7560   3744 118132    0    0     0     0 3981 3892 49 43  9  0
 2  0  10888   8256   3728 115488    0   56     0    84 4245 3436 55 27 11  6
 5  0  10884   7792   3728 115728   60    0    60     0 3516 3686 55 27 18  0
 1  1  10916   8460   3700 113724    0   32     0    32 3913 3843 56 22 17  5
 1  0  10916   8100   3700 113832    0    0     0     0 3691 3920 50 28 22  0
 5  1  10948   8272   3684 112556    0   36     0    36 3636 3756 51 27 20  1
 3  0  10956   8352   3672 112516    0   20     0    48 4004 4013 38 44 18  1
 4  1  10952   7280   3620 112556    0    0     0     0 4037 3971 43 43 14  0
 1  0  10976   8292   3600 111484    0   24     0    24 3849 3869 43 38 18  2
 3  0  10976   7468   3600 111744    0    0     0     0 3559 3837 44 35 21  0
 3  1  11000   8384   3584 109664    0   24     0    24 4022 3919 43 37 16  3
 1  0  10996   8012   3592 109880    0    0     0    12 3529 3668 46 32 22  0
 1  1  11008   7920   3584 108808    0   12     0    12 3566 4006 46 36 18  1
 3  1  11136   7004   3548 105136   24  144    24   144 4579 3012 59 30 10  0
 1  0  11152   8244   3540 105000    0   20     0    20 3976 3878 39 40 21  0
 1  1  11264   7532   3508 104588    0  112     0   112 3682 3477 39 38 24  1
 3  0  11208   8012   3372 104064  124   32   124  1376 3559 3671 42 33 23  1
 5  0  11160   7420   3372 104252    8    0     8     0 3698 3757 45 39 17  0
 4  0  11188   8396   3264 102792    0   36     0    36 3913 3735 46 36 17  2
MEDIA
NR:  51 CPU:  73.9796
