procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 7  0   7232 121152   7980 157200    0    1    11     8  146  192  2  2 97  0
 7  0   7232 119708   7980 158148    0    0   644     0 4919 8190 33 59  7  0
11  0   7232 113708   7980 158604    0    0   164     4 5216 6919 43 54  4  0
 6  0   7232 111648   7980 158776    0    0     0     0 5064 6001 44 53  3  0
 7  0   7232 109960   7988 159128    0    0     0    48 5278 6544 38 60  2  0
12  0   7232 109928   7988 159308    0    0     0     0 5323 7104 37 60  4  0
 3  0   7232 108464   7988 159580    0    0     0     0 5339 7647 37 58  5  0
 7  0   7232 105208   7988 159852    0    0     0     0 5099 7544 36 61  3  0
 8  0   7232 105020   7988 160216    0    0     0     0 4678 7484 46 49  6  0
 2  0   7232 104008   7996 160360    0    0     0    12 5424 8144 31 63  6  0
 5  0   7232 103264   7996 160672    0    0     0     0 4837 8092 37 51 12  0
 2  0   7232 101580   7996 160936    0    0     0     0 4704 7579 38 56  6  0
 3  0   7232 100464   7996 161188    0    0     0     0 4896 7266 40 57  4  0
 9  0   7232  98892   7996 161464    0    0     0     0 5142 7211 36 56  8  0
 6  0   7232  90436   8004 161740    0    0     0    28 4849 8259 39 48 13  0
 9  0   7232  83556   8004 162004    0    0     0     0 5333 7919 39 57  4  0
 0  0   7232  82868   8004 162268    0    0     4     0 5365 9076 33 51 16  0
 2  0   7232  82560   8004 162672    0    0     0     0 4949 10625 28 38 34  0
 0  0   7232  81444   8004 162844    0    0     0     0 5083 9369 30 45 25  0
 2  0   7232  79952   8012 163116    0    0     0    28 4713 10337 28 30 42  0
 8  0   7232  78528   8012 163388    0    0     0     0 4999 10573 25 39 35  0
 1  0   7232  77008   8012 163664    0    0     0     0 5131 8895 25 47 28  0
 4  0   7232  75956   8016 164052    0    0     4  1756 4740 9529 24 36 40  0
 3  0   7232  74528   8016 164324    0    0     0     0 5053 10830 24 39 37  0
 0  0   7232  73508   8024 164600    0    0     0    40 4947 11497 20 35 46  0
 0  0   7232  72324   8024 164888    0    0     0     0 5092 10197 24 41 35  0
 3  0   7232  70840   8024 165064    0    0     0     0 5200 11332 23 41 36  0
 2  0   7232  69820   8024 165348    0    0     0    44 4819 10087 24 39 37  0
 1  0   7232  68548   8024 165708    0    0     0     0 5148 12377 20 34 46  0
 1  0   7232  67432   8032 165988    0    0     0    12 4930 10448 32 30 39  0
 2  0   7232  66532   8032 166268    0    0     0     0 4943 12252 26 27 48  0
 3  0   7232  65052   8032 166540    0    0     0     0 5069 12368 23 39 38  0
 0  0   7232  63808   8032 166824    0    0     0    16 4956 11325 28 39 33  0
 1  0   7232  62760   8032 167096    0    0     0     0 4943 11901 22 33 45  0
 3  0   7232  61736   8040 167260    0    0     0    32 5093 11135 27 27 46  0
 0  0   7232  60712   8040 167652    0    0     0     0 5059 12372 17 32 50  0
 0  0   7232  59316   8040 167928    0    0     0     0 5117 11817 22 33 45  0
 5  0   7232  57984   8040 168204    0    0     0  1956 5096 11349 24 40 37  0
 4  0   7232  56712   8040 168484    0    0     0     0 5018 12409 20 32 48  0
 3  0   7232  55536   8048 168752    0    0     0    36 4976 11779 22 29 50  0
MEDIA
NR:  42 CPU:  72.175
